u51,shop35,3.2,2.2,Bad Service and Bad Hygiene,B
u19,shop132,1.4,3.1,Bad Service and Bad Hygiene,A
u75,shop93,2.9,4.3,Good Service,A
u33,shop51,4,4.1,Good Hygiene,B
u99,shop104,5,1.2,Good Hygiene,A
u20,shop147,4.9,4.4,Good Hygiene,B
u100,shop113,4.5,3.9,Good Hygiene,A
u26,shop44,3.6,2.4,Good Hygiene,A
u87,shop66,3.7,2,Good Hygiene,A
u47,shop145,1.3,3,Bad Service and Bad Hygiene,A
u57,shop146,2.7,2.9,Bad Service and Bad Hygiene,B
u69,shop30,3.9,4.7,Good Hygiene,B
u67,shop62,3.1,2.8,Bad Service and Bad Hygiene,A
u22,shop25,2.4,5,Good Service,B
u4,shop59,4.3,3.2,Good Hygiene,A
u73,shop141,2.8,3.6,Good Service,B
u40,shop27,1.5,2.5,Bad Service and Bad Hygiene,B
u90,shop108,1.1,2.6,Bad Service and Bad Hygiene,B
u49,shop74,3.5,1.4,Bad Service and Bad Hygiene,A
u68,shop135,2.5,1.3,Bad Service and Bad Hygiene,B
u62,shop4,3.4,3.7,Good Service,A
u44,shop137,4.4,4.6,Good Hygiene,A
u29,shop126,4.6,4.8,Good Hygiene,A
u6,shop83,3,2.7,Bad Service and Bad Hygiene,B
u37,shop142,2.2,4.5,Good Service,B
u85,shop96,3.8,1.1,Good Hygiene,B
u48,shop87,4.8,3.5,Good Hygiene,B
u80,shop29,4.7,4.9,Good Hygiene,B
u89,shop85,2.6,3.8,Good Service,B
u91,shop40,4.2,4,Good Hygiene,B
u34,shop140,4.1,3.4,Good Hygiene,A
u23,shop148,2,1.5,Bad Service and Bad Hygiene,B
u64,shop128,1.2,4.2,Good Service,A
u17,shop103,4.1,3.5,Good Hygiene,B
u78,shop14,3.6,2.5,Good Hygiene,A
u98,shop131,3.9,3.5,Good Hygiene,B
u21,shop149,4,3.8,Good Hygiene,B
u79,shop22,3.1,1.4,Bad Service and Bad Hygiene,A
u58,shop88,3.1,4,Good Service,A
u41,shop106,2.2,1.1,Bad Service and Bad Hygiene,A
u50,shop34,3.4,3,Bad Service and Bad Hygiene,B
