r101,1,Twin,2,400,1.53
r102,0,Queen,4,200,4.39
r103,0,Double,2,300,1.76
r104,1,King,4,200,2.6
r105,0,Twin,2,300,1.41
r106,1,Double,2,600,1.96
r107,0,Double,2,400,2.34
r108,0,Queen,4,200,1.2
r109,0,King,4,400,1.44
r110,1,King,4,500,2.2
r111,1,King,4,400,3.67
r112,1,Double,2,200,4.53
r113,0,Queen,4,100,1.25
r114,0,King,4,600,4.41
r115,1,Queen,4,200,2.45
r116,0,King,4,400,1.62
r117,0,Twin,2,100,3.17
r118,1,Queen,4,500,1.4
r119,0,King,4,500,1.47
r120,0,Twin,2,500,2.58
r121,0,Double,2,500,4.38
r122,1,Twin,2,400,1.82
r123,0,Queen,4,600,2.36
r124,1,Double,2,500,2.55
r125,1,Queen,4,400,3.44
r126,0,Queen,4,600,3.89
r127,1,King,4,100,1.4
r128,1,Queen,4,200,2.21
r129,1,Twin,2,100,3.22
r130,1,Twin,2,300,1.66
r131,0,King,4,500,4.86
r132,0,Double,2,400,1.78
r133,0,Twin,2,400,4.38
r134,0,King,4,600,2.51
r135,1,Double,2,600,1.76
r136,1,Queen,4,500,4.62
r137,0,King,4,200,2.92
r138,0,King,4,100,4.48
r139,0,King,4,100,2.11
r140,0,King,4,500,1.84
r141,0,Queen,4,500,2.43
r142,1,King,4,400,1.58
r143,1,Queen,4,200,3.94
r144,0,Twin,2,200,2.59
r145,1,King,4,600,4.07
r146,0,Queen,4,500,2.25
r147,1,Double,2,500,4.76
r148,0,Twin,2,100,1.85
r149,1,Queen,4,300,2.48
r150,1,Queen,4,600,3.56
r151,0,Queen,4,200,1.26
r152,1,King,4,200,3.99
r153,0,Queen,4,400,4.97
r154,0,King,4,300,3.91
r155,1,Twin,2,400,1.23
r156,0,Twin,2,300,4.35
r157,0,King,4,200,2.88
r158,0,Double,2,100,4.23
r159,1,King,4,100,1.3
r160,1,King,4,400,2.6
r161,0,Twin,2,500,1.91
r162,1,Twin,2,100,2.91
r163,0,King,4,500,1.67
r164,0,King,4,600,1.7
r165,0,Queen,4,200,4.69
r166,0,Double,2,200,2.11
r167,0,King,4,500,2.14
r168,1,Double,2,500,1.65
r169,0,King,4,500,2.07
r170,0,Double,2,400,3.05
r171,0,King,4,100,1.09
r172,1,Queen,4,600,2.39
r173,0,Twin,2,500,4.76
r174,0,King,4,200,4.43
r175,0,Queen,4,400,1.04
r176,0,Queen,4,500,1.56
r177,1,Double,2,600,2.41
r178,1,Double,2,300,1.19
r179,0,Twin,2,400,2.21
r180,0,Queen,4,300,2.88
r181,1,Queen,4,600,4.12
r182,1,Queen,4,100,1.18
