f101,Gobi manchurian,180
f102,Mutton biryani,200
f103,Kahwah,100
f104,Paapad/poppadam,120
f105,Roll,90
f106,"Chaat (papri, aloo, raj kachori)",130
f107,Muglai parantha,220
f108,Sandesh,190
f109,Thukpa,160
f110,Bamboo shoot pork,170
f111,Khandvi,150
f112,Aachar,110
f113,Kadhai chicken,210
f114,Laccha paratha,140
f115,Egg curry,180
f116,Malai kofta,90
f117,Jalebi,180
f118,Galouti kebab,150
f119,Rajma,190
f120,Ghugni,120
f121,Raita,180
f122,Chole bhature,130
f123,Samosa,100
f124,Keema matar,190
f125,Dhokla,160
f126,Rabri,150
f127,Dubka,120
f128,Uttapam,120
f129,Kedgeree,160
f130,Toddy,120
f131,Momos,160
f132,Jadoh,150
f133,Dahi bhalla,180
f134,Idli and sambar,160
f135,Laddoo,190
f136,Bheja,160
f137,Palak paneer/shahi paneer,110
f138,Aloo paratha,160
f139,Jal jeera,90
f140,Butter chicken,120
f141,Luchi/puri,190
f142,Aloo tikki,140
f143,Kulfi and falooda,150
f144,Chicken pakora,210
f145,Pao bhaji,120
f146,Daab chingri,190
f147,Dal baati churma,170
f148,Lemon rice,190
f149,Pork vindaloo,100
f150,Appam and chicken stew,200
f151,Kadhi,190
f152,Vada pav,180
f153,Gajar ka halwa,150
f154,Aam panna,220
f155,Aloo gobi,160
f156,Masala coke/pepsi,90
f157,Dhansak,160
f158,Masala chai,210
f159,Sorcshe ilish,110
f160,Rasmalai,110
f161,Maggi noodles,150
f162,Dosa,200
f163,Tandoori chicken,170
f164,Sheermaal,190
f165,Beef fry,120
f166,Sarson ka saag and makki ki roti,140
f167,Gujia,170
f168,Bhel puri,100
f169,Fenny,120
f170,Anda bhurjee,210
f171,Malabar or Kerala paratha,140
f172,Matar pulao,220
f173,Nihari,220
f174,Paan,190
f175,Mishti doi,220
f176,Moong dal halwa,180
f177,Chuski,160
f178,Shammi/sheekh kebab,140
f179,Haleem,190
f180,Kheer/Phirni,170
f181,Chicken tikka masala,140
f182,Sorpotel,130
f183,Chiwra,130
f184,Bhetki paturi,220
f185,Shahi tukra,210
f186,Upma,110
f187,Naan,220
f188,Golgappa/Panipuri/Puchka,110
f189,Kaju barfi,190
f190,Mulligatawny,140
f191,Goan sausages,190
f192,Rasam,140
f193,Avial,170
f194,Bread pakora/ bread roll,220
f195,Paya,110
f196,Dal makhani,200
f197,Khichdi,180
f198,Rasgulla,210
f199,Lassi,160
f200,Rogan josh,200
