b996,f127,3
b388,f102,5
b1026,f163,1
b628,f151,5
b264,f159,2
b1051,f142,2
b434,f154,3
b979,f118,1
b566,f192,3
b777,f151,1
b909,f113,1
b130,f196,5
b788,f148,1
b735,f161,4
b568,f149,3
b1086,f193,5
b211,f198,4
b648,f175,4
b205,f168,4
b528,f152,2
b790,f144,1
b594,f182,5
b551,f156,3
b246,f165,1
b660,f179,3
b1078,f167,3
b138,f167,4
b751,f191,5
b602,f131,1
b232,f104,2
b673,f141,1
b446,f127,1
b733,f170,3
b281,f107,5
b296,f115,5
b147,f107,3
b329,f150,3
b195,f148,5
b233,f134,4
b1072,f196,1
b540,f128,1
b569,f126,3
b126,f143,5
b625,f127,4
b716,f128,4
b323,f104,5
b742,f122,3
b449,f193,3
b211,f151,3
b794,f165,5
b878,f104,1
b245,f198,3
b831,f151,5
b130,f156,1
b1019,f162,4
b801,f107,1
b532,f175,2
b684,f126,3
b687,f141,5
b523,f186,4
b580,f141,5
b272,f132,5
b516,f190,4
b513,f172,4
b159,f175,5
b755,f124,3
b773,f173,2
b913,f121,2
b324,f112,5
b382,f168,3
b434,f147,2
b778,f123,2
b270,f193,5
b723,f185,3
b944,f159,3
b228,f178,2
b121,f101,5
b851,f191,3
b482,f138,1
b1023,f104,2
b837,f181,1
b593,f167,1
b880,f153,4
b961,f177,5
b364,f101,4
b336,f140,1
b357,f200,2
b708,f159,4
b881,f124,1
b849,f181,2
b881,f149,5
b778,f143,1
b820,f161,2
b1046,f196,3
b261,f150,2
b362,f126,1
b373,f172,3
b419,f141,5
b1064,f183,3
b635,f149,4
b363,f116,2
b124,f189,1
b1064,f125,2
b979,f106,1
b669,f119,3
b352,f182,3
b192,f148,4
b287,f157,4
b899,f146,4
b654,f192,1
b924,f149,5
b135,f187,1
b622,f187,4
b363,f110,4
b601,f124,2
b163,f103,5
b268,f114,4
b108,f129,3
b447,f180,1
b427,f132,5
b775,f117,1
b692,f188,1
b938,f144,4
b844,f104,3
b130,f107,3
b281,f161,4
b740,f130,2
b114,f181,1
b263,f160,5
b938,f159,4
b660,f136,5
b640,f184,1
b114,f172,1
b1010,f113,2
b906,f151,1
b1067,f111,3
b335,f134,4
b801,f162,5
b497,f120,4
b1000,f146,4
b747,f150,2
b231,f169,2
b843,f139,4
b381,f152,1
b633,f190,1
b912,f106,5
b350,f152,2
b740,f135,3
b928,f127,2
b184,f145,2
b416,f195,2
b284,f163,1
b619,f189,1
b161,f184,5
b318,f129,5
b336,f162,2
b976,f163,5
b790,f106,5
b326,f143,5
b182,f115,4
b804,f197,4
b216,f162,2
b812,f115,3
b761,f105,2
b509,f165,2
b539,f106,4
b278,f101,5
b974,f128,1
b664,f140,3
b149,f175,5
b977,f146,1
b610,f186,5
b683,f117,2
b403,f156,1
b262,f144,2
b987,f158,1
b394,f190,3
b351,f193,4
b858,f114,4
b501,f192,4
b561,f187,5
b600,f143,5
b1037,f119,4
b146,f143,2
b891,f158,4
b152,f163,3
b1034,f155,4
b987,f108,1
b624,f166,3
b249,f168,5
b151,f187,2
b255,f150,2
b615,f120,3
b834,f134,1
b668,f176,2
b470,f158,5
b698,f113,1
b217,f171,5
b1078,f108,5
b479,f163,4
b214,f110,1
b952,f110,2
b186,f110,3
b855,f182,3
b819,f115,4
b710,f157,3
b294,f103,5
b412,f135,2
b1066,f147,4
b150,f105,5
b1032,f168,5
b931,f193,2
b803,f175,3
b415,f146,2
b399,f143,1
b337,f175,5
b133,f183,2
b881,f177,5
b225,f135,4
b718,f195,3
